TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,CustomerAgeGroup,Target
14.090000000000032,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,Tinggi,1
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,Tinggi,0
126.29000000000002,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.3499999999995,Rendah,1
184.5,Debit,Raleigh,Online,26.0,Student,25.0,1.0,8569.06,Rendah,1
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.6800000000003,Rendah,1
7.0800000000000125,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,Sedang,1
171.42,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,Tinggi,0
106.23000000000002,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,Sedang,0
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8799999999997,Sedang,1
17.779999999999973,Credit,Albuquerque,Online,52.0,Engineer,59.0,1.0,7599.52,Sedang,0
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,Rendah,1
494.52,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,Rendah,1
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.6899999999996,Rendah,1
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.9300000000003,Rendah,0
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,Sedang,0
555.8,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.2600000000007,Rendah,0
492.92999999999995,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,Sedang,0
18.680000000000035,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.37,Tinggi,0
71.48000000000002,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,Rendah,0
59.31999999999999,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,Tinggi,0
85.76999999999998,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,Sedang,0
145.53999999999996,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,Rendah,1
7.490000000000009,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,Tinggi,0
40.31999999999999,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,Sedang,1
127.44999999999999,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,Sedang,0
56.170000000000016,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,Rendah,0
28.310000000000002,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,Tinggi,1
59.120000000000005,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,Rendah,0
877.81,Debit,Los Angeles,Online,21.999999999999996,Student,150.0,1.0,399.0,Rendah,0
255.26,Credit,San Francisco,Branch,45.0,Doctor,50.0,1.0,14815.869999999999,Sedang,1
124.75999999999999,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,Sedang,1
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.6099999999997,Rendah,1
335.63,Debit,Oklahoma City,Online,55.0,Retired,216.0,1.0,1019.3899999999999,Sedang,1
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,Tinggi,1
34.02000000000001,Debit,Philadelphia,Online,38.0,Doctor,19.0,1.0,14214.48,Sedang,1
241.42,Credit,Charlotte,Online,57.0,Doctor,116.0,1.0,13357.02,Tinggi,0
55.31999999999999,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.78999999999996,Rendah,1
304.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.6099999999997,Rendah,0
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,Rendah,0
510.24,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.6999999999998,Rendah,1
626.9,Debit,Denver,Online,26.0,Student,138.0,1.0,265.5100000000002,Rendah,0
425.34,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.54,Tinggi,0
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.899999999998,Tinggi,1
169.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8800000000001,Rendah,1
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,Tinggi,1
316.95,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.0299999999997,Rendah,1
60.53999999999999,Credit,Columbus,Branch,57.0,Retired,52.0,1.0,3534.93,Tinggi,0
292.56,Credit,Dallas,Branch,68.0,Retired,61.0,1.0,4638.37,Tinggi,0
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,Sedang,0
112.07,Debit,Kansas City,Branch,23.0,Student,51.0,1.0,930.3000000000002,Rendah,0
349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,Sedang,0
